årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;113
1956;66
1957;137
1958;103
1959;78
1960;104
1961;104
1962;106
1963;98
1964;119
1965;136
1966;131
1967;131
1968;111
1969;244
1970;178
1971;197
1972;170
1973;204
1974;222
1975;275
1976;325
1977;525
1978;516
1979;666
1980;805
1981;990
1982;935
1983;1256
1984;955
1985;1199
1986;1106
1987;1095
1988;860
1989;927
1990;843
1991;907
1992;960
1993;984
1994;808
1995;742
1996;862
1997;983
1998;1040
1999;991
2000;957
2001;1125
2002;980
2003;1238
2004;1266
2005;1034
