årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;10677
1956;10036
1957;11279
1958;10123
1959;10685
1960;10143
1961;12077
1962;10689
1963;11720
1964;12260
1965;11523
1966;12151
1967;12451
1968;10115
1969;9294
1970;8910
1971;9631
1972;8301
1973;7535
1974;6474
1975;5657
1976;5005
1977;4840
1978;4022
1979;3388
1980;3138
1981;3047
1982;2312
1983;1651
1984;1601
1985;1633
1986;1552
1987;1905
1988;1692
1989;1740
1990;1771
1991;1801
1992;1510
1993;1292
1994;926
1995;1504
1996;1915
1997;1822
1998;1961
1999;2528
2000;1865
2001;2242
2002;2178
2003;2326
2004;2449
2005;2693
