årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;24031
1956;17610
1957;19209
1958;15004
1959;16322
1960;15085
1961;16833
1962;15468
1963;15847
1964;16745
1965;16135
1966;18575
1967;19325
1968;23873
1969;26056
1970;22776
1971;21989
1972;21991
1973;24715
1974;20616
1975;23658
1976;22198
1977;19563
1978;19435
1979;20296
1980;16624
1981;18795
1982;17191
1983;9843
1984;8566
1985;8092
1986;8657
1987;7778
1988;7388
1989;8875
1990;8218
1991;7641
1992;6152
1993;4830
1994;3288
1995;5678
1996;6689
1997;5668
1998;5906
1999;7875
2000;5398
2001;6661
2002;6242
2003;7936
2004;9046
2005;8431
