årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7756
1956;7452
1957;8119
1958;12752
1959;14577
1960;11483
1961;15040
1962;16045
1963;16130
1964;20329
1965;22115
1966;30103
1967;26189
1968;28919
1969;27653
1970;28511
1971;27924
1972;28276
1973;29071
1974;25301
1975;29191
1976;25716
1977;24502
1978;22980
1979;22804
1980;21805
1981;20653
1982;19808
1983;17706
1984;15927
1985;16722
1986;14214
1987;14512
1988;14363
1989;13706
1990;13544
1991;13011
1992;11551
1993;8292
1994;5625
1995;5949
1996;4636
1997;4385
1998;4502
1999;4758
2000;3551
2001;3740
2002;3154
2003;3738
2004;3436
2005;3388
