årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;47245
1956;34539
1957;52418
1958;41362
1959;49213
1960;49465
1961;61555
1962;53392
1963;56578
1964;56146
1965;61363
1966;59229
1967;66406
1968;58275
1969;69594
1970;45409
1971;38323
1972;38984
1973;42747
1974;36797
1975;40307
1976;40021
1977;40856
1978;37824
1979;32817
1980;27365
1981;27299
1982;27556
1983;29585
1984;28295
1985;30131
1986;31386
1987;30442
1988;29909
1989;36682
1990;38508
1991;42279
1992;41069
1993;33631
1994;36527
1995;34597
1996;36112
1997;34974
1998;27988
1999;42314
2000;29694
2001;43750
2002;39706
2003;47119
2004;44558
2005;45990
