årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3174
1956;2945
1957;3384
1958;3082
1959;3278
1960;2812
1961;2983
1962;3318
1963;3849
1964;3520
1965;3895
1966;3231
1967;3442
1968;4231
1969;4009
1970;3700
1971;3746
1972;3934
1973;4034
1974;4653
1975;4872
1976;5348
1977;5971
1978;5791
1979;6051
1980;6412
1981;7141
1982;7366
1983;7776
1984;7859
1985;9069
1986;9020
1987;8553
1988;9633
1989;10278
1990;11108
1991;11949
1992;13117
1993;14825
1994;13601
1995;14738
1996;15368
1997;12680
1998;14335
1999;14297
2000;13245
2001;14184
2002;13524
2003;13922
2004;12473
2005;8904
