årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7363
1956;7705
1957;8744
1958;8108
1959;7334
1960;6256
1961;4962
1962;7639
1963;7155
1964;8458
1965;7615
1966;5082
1967;6743
1968;11249
1969;10124
1970;7905
1971;7042
1972;7461
1973;9007
1974;6956
1975;7470
1976;8055
1977;7267
1978;6593
1979;6595
1980;5151
1981;6433
1982;6458
1983;5155
1984;4971
1985;4371
1986;5168
1987;5633
1988;5240
1989;5613
1990;6466
1991;6407
1992;5433
1993;5560
1994;5893
1995;6109
1996;6957
1997;4865
1998;5276
1999;6419
2000;6304
2001;6759
2002;7267
2003;7232
2004;8263
2005;9537
