årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;877
1956;741
1957;966
1958;1032
1959;1856
1960;1733
1961;2370
1962;1734
1963;1594
1964;1548
1965;1068
1966;889
1967;1322
1968;1269
1969;1943
1970;1638
1971;1424
1972;1374
1973;2463
1974;2127
1975;2380
1976;2040
1977;2915
1978;3255
1979;2197
1980;2083
1981;2027
1982;1726
1983;1586
1984;1591
1985;1625
1986;2054
1987;1962
1988;2282
1989;2391
1990;2428
1991;1976
1992;3614
1993;2451
1994;2211
1995;2806
1996;2190
1997;1722
1998;1950
1999;1707
2000;2498
2001;3023
2002;3275
2003;2022
2004;3337
2005;2890
