årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;404159
1956;291338
1957;342398
1958;-6
1959;-610
1960;0
1961;0
1962;538
1963;0
1964;397
1965;4764
1966;9359
1967;11533
1968;0
1969;2
1970;214
1971;4365
1972;212
1973;1310
1974;757
1975;8929
1976;774
1977;1275
1978;13702
1979;13191
1980;6737
1981;6147
1982;13211
1983;32499
1984;24003
1985;11570
1986;7105
1987;4656
1988;16179
1989;4236
1990;3401
1991;3400
1992;2669
1993;3339
1994;3281
1995;6009
1996;2918
1997;2565
1998;3902
1999;3951
2000;164
2001;132
2002;178
2003;47
2004;114
2005;1035
