årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4389
1956;3556
1957;3264
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;12964
1967;0
1968;0
1969;0
1970;7
1971;180
1972;6
1973;16
1974;10
1975;6112
1976;16
1977;11
1978;160
1979;226
1980;120
1981;169
1982;185
1983;473
1984;406
1985;122
1986;52
1987;39
1988;180
1989;2
1990;15
1991;67
1992;13
1993;1
1994;0
1995;4
1996;11
1997;17
1998;8
1999;0
2000;10
2001;0
2002;0
2003;0
2004;0
2005;3
