årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;93070
1956;60912
1957;92834
1958;0
1959;-600
1960;0
1961;0
1962;-60
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;7
1971;143
1972;6
1973;27
1974;8
1975;42
1976;17
1977;65
1978;155
1979;553
1980;158
1981;307
1982;531
1983;1849
1984;941
1985;573
1986;250
1987;164
1988;795
1989;14
1990;159
1991;4
1992;16
1993;397
1994;1
1995;501
1996;240
1997;94
1998;293
1999;87
2000;14
2001;2
2002;0
2003;0
2004;8
2005;0
