årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;108527
1956;66054
1957;68414
1958;-6
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;7
1971;309
1972;6
1973;71
1974;72
1975;129
1976;51
1977;125
1978;2319
1979;2217
1980;1141
1981;1373
1982;2197
1983;7853
1984;5278
1985;2781
1986;1372
1987;1448
1988;3330
1989;1249
1990;407
1991;303
1992;617
1993;748
1994;1408
1995;807
1996;477
1997;360
1998;539
1999;361
2000;51
2001;57
2002;11
2003;15
2004;26
2005;6
