årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;317
1957;362
1958;0
1959;-10
1960;0
1961;0
1962;0
1963;0
1964;0
1965;654
1966;321
1967;746
1968;0
1969;0
1970;6
1971;334
1972;6
1973;73
1974;43
1975;94
1976;41
1977;53
1978;220
1979;201
1980;190
1981;173
1982;346
1983;2717
1984;942
1985;260
1986;301
1987;108
1988;373
1989;17
1990;30
1991;39
1992;29
1993;41
1994;23
1995;64
1996;53
1997;56
1998;53
1999;34
2000;1
2001;2
2002;8
2003;1
2004;4
2005;2
