årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;42324
1956;35330
1957;37346
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;321
1965;617
1966;0
1967;1301
1968;0
1969;0
1970;4
1971;197
1972;5
1973;26
1974;45
1975;56
1976;10
1977;8
1978;348
1979;1125
1980;364
1981;322
1982;537
1983;1266
1984;1556
1985;531
1986;228
1987;116
1988;308
1989;39
1990;5
1991;8
1992;70
1993;257
1994;101
1995;84
1996;268
1997;441
1998;48
1999;39
2000;2
2001;0
2002;0
2003;0
2004;0
2005;2
