årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;7345
1957;429
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;2031
1966;-1851
1967;5307
1968;0
1969;0
1970;6
1971;299
1972;5
1973;25
1974;37
1975;59
1976;37
1977;23
1978;832
1979;1268
1980;296
1981;228
1982;877
1983;1410
1984;1719
1985;710
1986;399
1987;288
1988;731
1989;41
1990;16
1991;143
1992;183
1993;22
1994;94
1995;272
1996;15
1997;17
1998;20
1999;52
2000;2
2001;3
2002;7
2003;2
2004;1
2005;3
