årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;38
1957;44
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;76
1965;0
1966;0
1967;308
1968;0
1969;0
1970;6
1971;202
1972;7
1973;31
1974;9
1975;20
1976;16
1977;17
1978;83
1979;64
1980;39
1981;28
1982;121
1983;785
1984;278
1985;108
1986;106
1987;28
1988;287
1989;9
1990;20
1991;4
1992;49
1993;61
1994;7
1995;54
1996;24
1997;35
1998;78
1999;14
2000;9
2001;3
2002;4
2003;3
2004;7
2005;17
