årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;19
1957;30
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;577
1967;421
1968;0
1969;0
1970;6
1971;194
1972;7
1973;10
1974;25
1975;15
1976;8
1977;10
1978;77
1979;119
1980;70
1981;38
1982;103
1983;276
1984;461
1985;133
1986;95
1987;24
1988;195
1989;4
1990;1
1991;21
1992;12
1993;8
1994;6
1995;9
1996;9
1997;32
1998;13
1999;4
2000;2
2001;1
2002;2
2003;0
2004;2
2005;3
