årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;8657
1956;8075
1957;9570
1958;11050
1959;12851
1960;11789
1961;13001
1962;9249
1963;7759
1964;7669
1965;5672
1966;5395
1967;5636
1968;6473
1969;6880
1970;2399
1971;2546
1972;1871
1973;1621
1974;1144
1975;993
1976;1122
1977;1204
1978;1183
1979;729
1980;455
1981;494
1982;369
1983;302
1984;289
1985;336
1986;259
1987;299
1988;297
1989;428
1990;312
1991;317
1992;296
1993;304
1994;284
1995;351
1996;417
1997;529
1998;356
1999;342
2000;129
2001;136
2002;147
2003;163
2004;85
2005;69
