årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;105421
1956;85572
1957;106778
1958;144655
1959;149185
1960;138335
1961;172235
1962;157017
1963;173345
1964;175751
1965;172835
1966;174139
1967;190894
1968;196624
1969;197431
1970;76817
1971;78262
1972;64264
1973;62235
1974;49688
1975;51546
1976;46338
1977;48265
1978;47700
1979;43086
1980;41035
1981;46814
1982;50322
1983;45638
1984;40966
1985;47118
1986;40974
1987;37796
1988;38546
1989;47293
1990;46324
1991;41585
1992;42785
1993;44862
1994;39776
1995;49933
1996;51746
1997;45372
1998;46195
1999;48673
2000;32529
2001;38126
2002;38379
2003;37157
2004;38043
2005;39263
