årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;6398
1959;9856
1960;7178
1961;8883
1962;7930
1963;9091
1964;7305
1965;12331
1966;7800
1967;12188
1968;11841
1969;14395
1970;6556
1971;9379
1972;4469
1973;3600
1974;1982
1975;2743
1976;2421
1977;1465
1978;1670
1979;2331
1980;1974
1981;2733
1982;1265
1983;881
1984;1400
1985;2334
1986;612
1987;487
1988;378
1989;440
1990;356
1991;526
1992;618
1993;495
1994;344
1995;694
1996;671
1997;502
1998;331
1999;254
2000;234
2001;323
2002;298
2003;305
2004;195
2005;190
