årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1501
1956;1256
1957;1387
1958;2051
1959;2159
1960;1532
1961;2266
1962;2202
1963;2648
1964;2653
1965;1628
1966;2281
1967;2207
1968;2019
1969;2169
1970;938
1971;819
1972;705
1973;722
1974;541
1975;470
1976;423
1977;231
1978;199
1979;215
1980;149
1981;213
1982;206
1983;141
1984;129
1985;213
1986;93
1987;89
1988;52
1989;134
1990;234
1991;263
1992;118
1993;72
1994;81
1995;79
1996;224
1997;128
1998;67
1999;82
2000;46
2001;31
2002;44
2003;23
2004;35
2005;52
