årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;680
1956;794
1957;756
1958;881
1959;750
1960;963
1961;987
1962;908
1963;216
1964;1083
1965;1137
1966;906
1967;1159
1968;1022
1969;947
1970;666
1971;721
1972;756
1973;702
1974;653
1975;31
1976;11
1977;32
1978;51
1979;319
1980;496
1981;577
1982;477
1983;362
1984;162
1985;304
1986;424
1987;695
1988;650
1989;672
1990;781
1991;858
1992;523
1993;666
1994;764
1995;662
1996;589
1997;355
1998;340
1999;754
2000;262
2001;362
2002;624
2003;579
2004;613
2005;707
