årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;6382
1959;7662
1960;5048
1961;7430
1962;8464
1963;10321
1964;6071
1965;11201
1966;8068
1967;8366
1968;12468
1969;8473
1970;5542
1971;7350
1972;6279
1973;7847
1974;4819
1975;6898
1976;3940
1977;5008
1978;5741
1979;2858
1980;2943
1981;5721
1982;5746
1983;3039
1984;2319
1985;2553
1986;1402
1987;1007
1988;1134
1989;1519
1990;932
1991;788
1992;1439
1993;1260
1994;878
1995;881
1996;795
1997;851
1998;568
1999;705
2000;582
2001;507
2002;231
2003;265
2004;220
2005;249
