årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;119
1956;78
1957;107
1958;158
1959;126
1960;131
1961;146
1962;144
1963;97
1964;141
1965;174
1966;194
1967;171
1968;172
1969;143
1970;36
1971;38
1972;31
1973;52
1974;38
1975;44
1976;41
1977;49
1978;39
1979;27
1980;3
1981;7
1982;2
1983;2
1984;4
1985;0
1986;0
1987;0
1988;2
1989;1
1990;1
1991;0
1992;16
1993;4
1994;14
1995;11
1996;53
1997;89
1998;11
1999;11
2000;19
2001;7
2002;16
2003;7
2004;18
2005;9
