årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;18284
1956;9706
1957;12470
1958;21382
1959;16266
1960;12101
1961;18052
1962;16763
1963;16767
1964;17378
1965;16161
1966;17344
1967;19463
1968;21210
1969;17800
1970;7457
1971;7640
1972;7146
1973;7083
1974;5033
1975;5139
1976;4669
1977;4630
1978;5600
1979;5675
1980;5531
1981;6136
1982;6059
1983;6477
1984;5760
1985;6285
1986;5249
1987;5619
1988;5698
1989;6438
1990;5830
1991;5243
1992;5350
1993;5646
1994;5946
1995;7146
1996;5644
1997;4741
1998;5501
1999;5751
2000;3586
2001;3876
2002;4639
2003;3889
2004;3280
2005;4033
