årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;91
1956;81
1957;121
1958;423
1959;240
1960;328
1961;344
1962;354
1963;479
1964;529
1965;421
1966;532
1967;629
1968;353
1969;1181
1970;201
1971;159
1972;109
1973;156
1974;117
1975;198
1976;103
1977;68
1978;157
1979;185
1980;142
1981;134
1982;228
1983;129
1984;126
1985;180
1986;95
1987;153
1988;169
1989;367
1990;334
1991;357
1992;580
1993;338
1994;321
1995;369
1996;397
1997;398
1998;310
1999;236
2000;235
2001;379
2002;372
2003;454
2004;416
2005;377
