årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;12353
1956;11707
1957;14272
1958;14912
1959;14541
1960;14472
1961;17546
1962;13788
1963;14067
1964;12882
1965;11446
1966;10977
1967;11444
1968;11307
1969;10613
1970;3568
1971;3921
1972;3610
1973;3522
1974;2478
1975;2749
1976;2687
1977;2272
1978;2257
1979;1360
1980;1275
1981;1279
1982;1153
1983;1649
1984;1769
1985;1771
1986;1599
1987;822
1988;888
1989;1256
1990;1687
1991;1542
1992;1947
1993;2602
1994;1777
1995;1980
1996;2012
1997;1458
1998;1610
1999;1647
2000;1168
2001;997
2002;814
2003;964
2004;1126
2005;1007
