årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;6761
1956;5796
1957;6995
1958;7203
1959;6396
1960;6587
1961;7338
1962;7546
1963;8545
1964;9584
1965;9179
1966;9773
1967;10380
1968;10242
1969;10033
1970;4124
1971;4545
1972;4046
1973;3643
1974;3466
1975;2919
1976;2822
1977;3259
1978;3062
1979;3658
1980;3349
1981;3428
1982;3673
1983;3704
1984;3740
1985;4468
1986;4808
1987;4254
1988;3630
1989;4035
1990;3877
1991;3399
1992;3455
1993;3572
1994;2607
1995;3655
1996;3870
1997;3344
1998;3731
1999;3394
2000;2612
2001;2859
2002;2593
2003;2773
2004;2680
2005;2486
