årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;8255
1956;7223
1957;7042
1958;7275
1959;6952
1960;6659
1961;6286
1962;8051
1963;7108
1964;7965
1965;8545
1966;8278
1967;8580
1968;8938
1969;9795
1970;2653
1971;2524
1972;2298
1973;1742
1974;1833
1975;1513
1976;1404
1977;1365
1978;1635
1979;1926
1980;1828
1981;1692
1982;1641
1983;1066
1984;1125
1985;1187
1986;1094
1987;1093
1988;974
1989;1025
1990;1378
1991;880
1992;911
1993;758
1994;809
1995;905
1996;1449
1997;1025
1998;1559
1999;1197
2000;704
2001;662
2002;1131
2003;731
2004;756
2005;834
