årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;75
1956;71
1957;76
1958;66
1959;62
1960;17
1961;68
1962;52
1963;16
1964;42
1965;68
1966;62
1967;72
1968;60
1969;51
1970;62
1971;40
1972;27
1973;50
1974;63
1975;38
1976;16
1977;17
1978;16
1979;72
1980;72
1981;57
1982;64
1983;57
1984;7
1985;24
1986;37
1987;38
1988;35
1989;51
1990;80
1991;90
1992;50
1993;102
1994;73
1995;111
1996;163
1997;150
1998;100
1999;152
2000;57
2001;38
2002;81
2003;55
2004;43
2005;48
