årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4484
1956;4497
1957;5681
1958;13345
1959;12459
1960;14584
1961;16288
1962;16498
1963;17839
1964;16129
1965;17822
1966;20455
1967;20372
1968;19513
1969;16532
1970;10462
1971;6999
1972;6522
1973;5598
1974;4787
1975;4862
1976;5781
1977;5275
1978;4550
1979;3495
1980;3900
1981;3885
1982;4121
1983;3685
1984;3280
1985;3941
1986;3575
1987;4550
1988;3391
1989;4525
1990;3662
1991;4068
1992;1414
1993;1946
1994;2010
1995;2072
1996;3570
1997;1814
1998;2598
1999;1179
2000;923
2001;914
2002;841
2003;783
2004;649
2005;802
