årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;16637
1956;14522
1957;18914
1958;18213
1959;19108
1960;19881
1961;25798
1962;22976
1963;23897
1964;24782
1965;24816
1966;26827
1967;28313
1968;26852
1969;28430
1970;10907
1971;10712
1972;9519
1973;9377
1974;9853
1975;9099
1976;9390
1977;10905
1978;9090
1979;9100
1980;9152
1981;9768
1982;10059
1983;10668
1984;8432
1985;9531
1986;9238
1987;7903
1988;9599
1989;12046
1990;12827
1991;10540
1992;13019
1993;14462
1994;13433
1995;16887
1996;17592
1997;15900
1998;16307
1999;20060
2000;14339
2001;17706
2002;17938
2003;16611
2004;19812
2005;18991
