årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;641
1956;559
1957;775
1958;795
1959;690
1960;631
1961;857
1962;632
1963;857
1964;710
1965;761
1966;863
1967;925
1968;887
1969;739
1970;201
1971;240
1972;240
1973;147
1974;206
1975;207
1976;220
1977;385
1978;245
1979;191
1980;193
1981;223
1982;208
1983;238
1984;237
1985;224
1986;181
1987;234
1988;205
1989;295
1990;354
1991;319
1992;820
1993;497
1994;416
1995;510
1996;712
1997;570
1998;660
1999;687
2000;380
2001;427
2002;470
2003;399
2004;375
2005;494
