årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5025
1956;5207
1957;5344
1958;6492
1959;5218
1960;5288
1961;4308
1962;5275
1963;5578
1964;6860
1965;5787
1966;3787
1967;5439
1968;5869
1969;7277
1970;1227
1971;1486
1972;1435
1973;1298
1974;857
1975;712
1976;592
1977;639
1978;474
1979;688
1980;311
1981;374
1982;755
1983;434
1984;650
1985;301
1986;510
1987;530
1988;300
1989;444
1990;512
1991;374
1992;933
1993;888
1994;670
1995;1119
1996;1396
1997;975
1998;957
1999;799
2000;592
2001;503
2002;570
2003;525
2004;249
2005;516
