årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;28
1956;24
1957;28
1958;16
1959;14
1960;16
1961;5
1962;1
1963;9
1964;26
1965;31
1966;16
1967;13
1968;19
1969;8
1970;1
1971;0
1972;1
1973;4
1974;2
1975;4
1976;0
1977;3
1978;0
1979;13
1980;34
1981;17
1982;17
1983;17
1984;15
1985;9
1986;24
1987;43
1988;30
1989;30
1990;34
1991;33
1992;27
1993;27
1994;34
1995;28
1996;77
1997;109
1998;22
1999;44
2000;10
2001;3
2002;6
2003;9
2004;14
2005;16
