årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;107
1956;154
1957;149
1958;166
1959;419
1960;386
1961;349
1962;302
1963;281
1964;257
1965;197
1966;212
1967;234
1968;214
1969;248
1970;97
1971;90
1972;83
1973;115
1974;59
1975;105
1976;92
1977;102
1978;171
1979;77
1980;57
1981;55
1982;60
1983;47
1984;42
1985;71
1986;55
1987;40
1988;51
1989;99
1990;89
1991;91
1992;132
1993;77
1994;61
1995;98
1996;163
1997;270
1998;88
1999;67
2000;75
2001;101
2002;84
2003;73
2004;64
2005;108
