årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;31585
1956;31391
1957;39455
1958;39982
1959;46440
1960;39856
1961;36631
1962;23979
1963;23162
1964;21189
1965;20094
1966;20615
1967;24926
1968;21780
1969;25965
1970;25778
1971;29962
1972;25911
1973;27747
1974;27691
1975;31177
1976;33264
1977;32850
1978;26167
1979;18760
1980;12911
1981;9596
1982;7177
1983;7722
1984;8013
1985;8542
1986;9938
1987;6041
1988;7803
1989;11133
1990;9893
1991;8752
1992;10796
1993;14163
1994;15079
1995;14167
1996;11026
1997;8278
1998;7944
1999;7312
2000;5589
2001;5443
2002;5619
2003;4846
2004;4198
2005;3605
