årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;7103
1959;6791
1960;6331
1961;6416
1962;6712
1963;6768
1964;5418
1965;6986
1966;7328
1967;7977
1968;8419
1969;9938
1970;7651
1971;7143
1972;8685
1973;7713
1974;5445
1975;6061
1976;7494
1977;6123
1978;5258
1979;6234
1980;7863
1981;6161
1982;6229
1983;6168
1984;5453
1985;5230
1986;3693
1987;5388
1988;6057
1989;5027
1990;5872
1991;6025
1992;5307
1993;6346
1994;4818
1995;4514
1996;3170
1997;2680
1998;3685
1999;4056
2000;3783
2001;3032
2002;2941
2003;3704
2004;4403
2005;3373
