årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;6278
1956;5140
1957;5784
1958;6554
1959;6279
1960;5552
1961;6584
1962;7577
1963;6791
1964;8037
1965;6905
1966;7251
1967;8126
1968;10307
1969;8708
1970;8855
1971;9793
1972;9366
1973;11398
1974;9456
1975;10532
1976;8759
1977;7694
1978;6467
1979;6079
1980;5566
1981;7583
1982;5861
1983;5763
1984;5456
1985;4606
1986;3667
1987;3874
1988;4117
1989;4550
1990;4192
1991;3709
1992;3235
1993;3222
1994;3911
1995;3258
1996;3497
1997;2227
1998;2633
1999;3204
2000;3257
2001;2635
2002;2599
2003;2127
2004;2017
2005;1955
