årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;74
1956;55
1957;68
1958;35
1959;33
1960;67
1961;49
1962;66
1963;63
1964;54
1965;45
1966;56
1967;60
1968;40
1969;38
1970;41
1971;38
1972;16
1973;22
1974;16
1975;32
1976;50
1977;52
1978;39
1979;60
1980;49
1981;52
1982;59
1983;50
1984;54
1985;54
1986;47
1987;109
1988;125
1989;203
1990;145
1991;287
1992;324
1993;313
1994;213
1995;205
1996;195
1997;224
1998;208
1999;222
2000;211
2001;158
2002;167
2003;207
2004;214
2005;224
