årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;10329
1959;12192
1960;10518
1961;9628
1962;5843
1963;10966
1964;8963
1965;11927
1966;12171
1967;8989
1968;15595
1969;14359
1970;8271
1971;10449
1972;11712
1973;9679
1974;7802
1975;8809
1976;13060
1977;8364
1978;7235
1979;6641
1980;6277
1981;15965
1982;10663
1983;10231
1984;10723
1985;7251
1986;6639
1987;5616
1988;8194
1989;11584
1990;11556
1991;10634
1992;12901
1993;10721
1994;10269
1995;8366
1996;5377
1997;5906
1998;6187
1999;6581
2000;5460
2001;4251
2002;4255
2003;5364
2004;4706
2005;4864
