årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;13554
1956;10637
1957;13394
1958;12118
1959;16087
1960;13760
1961;15094
1962;10827
1963;14096
1964;14779
1965;15854
1966;17463
1967;20693
1968;19395
1969;21699
1970;23425
1971;26446
1972;23377
1973;26049
1974;28201
1975;30300
1976;29517
1977;29269
1978;26944
1979;24314
1980;24388
1981;22651
1982;22593
1983;21112
1984;22666
1985;24419
1986;25643
1987;18112
1988;24569
1989;28673
1990;30053
1991;27451
1992;32047
1993;37846
1994;35137
1995;33354
1996;30752
1997;26021
1998;29094
1999;32297
2000;32405
2001;35825
2002;37913
2003;41291
2004;46011
2005;41408
