årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;217
1956;239
1957;244
1958;221
1959;384
1960;377
1961;399
1962;699
1963;483
1964;630
1965;446
1966;340
1967;391
1968;400
1969;487
1970;391
1971;491
1972;490
1973;695
1974;606
1975;752
1976;830
1977;678
1978;775
1979;520
1980;93
1981;109
1982;157
1983;309
1984;309
1985;374
1986;245
1987;263
1988;337
1989;305
1990;322
1991;208
1992;430
1993;405
1994;330
1995;536
1996;510
1997;433
1998;608
1999;491
2000;317
2001;387
2002;239
2003;274
2004;203
2005;72
