årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;45354
1956;24828
1957;29850
1958;33795
1959;35834
1960;24890
1961;38075
1962;40163
1963;35851
1964;36355
1965;36884
1966;35666
1967;38753
1968;39009
1969;21121
1970;31989
1971;33572
1972;31772
1973;35980
1974;27937
1975;33428
1976;33598
1977;32283
1978;35897
1979;39307
1980;41745
1981;46857
1982;45620
1983;50464
1984;45652
1985;46943
1986;49082
1987;45737
1988;54116
1989;54530
1990;54236
1991;49790
1992;47033
1993;49746
1994;52621
1995;58013
1996;44395
1997;40120
1998;45745
1999;55103
2000;44477
2001;46183
2002;45743
2003;43973
2004;35712
2005;33290
