årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;234
1956;279
1957;481
1958;439
1959;486
1960;436
1961;649
1962;412
1963;585
1964;422
1965;434
1966;718
1967;624
1968;437
1969;1087
1970;556
1971;440
1972;333
1973;370
1974;413
1975;483
1976;512
1977;508
1978;610
1979;434
1980;468
1981;352
1982;600
1983;500
1984;327
1985;345
1986;492
1987;460
1988;714
1989;710
1990;498
1991;538
1992;578
1993;725
1994;545
1995;512
1996;537
1997;632
1998;1028
1999;1070
2000;1666
2001;1671
2002;2146
2003;2472
2004;3559
2005;3005
