årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;116
1956;97
1957;162
1958;177
1959;159
1960;212
1961;213
1962;216
1963;201
1964;243
1965;279
1966;268
1967;267
1968;261
1969;314
1970;379
1971;383
1972;389
1973;496
1974;544
1975;585
1976;569
1977;676
1978;662
1979;734
1980;834
1981;723
1982;786
1983;599
1984;583
1985;786
1986;525
1987;603
1988;397
1989;454
1990;376
1991;367
1992;327
1993;348
1994;301
1995;286
1996;418
1997;346
1998;420
1999;380
2000;373
2001;493
2002;435
2003;554
2004;412
2005;509
