årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;19745
1956;18762
1957;20971
1958;22022
1959;21801
1960;20209
1961;21156
1962;21786
1963;24057
1964;24387
1965;25061
1966;24316
1967;26256
1968;23948
1969;26636
1970;27767
1971;29124
1972;28291
1973;28241
1974;25541
1975;24923
1976;24002
1977;21060
1978;19947
1979;19078
1980;17340
1981;17550
1982;14376
1983;10752
1984;9797
1985;10426
1986;9030
1987;9332
1988;8977
1989;10080
1990;8836
1991;8763
1992;7497
1993;5548
1994;3576
1995;4829
1996;5315
1997;4391
1998;5212
1999;5058
2000;4113
2001;4368
2002;4416
2003;4653
2004;4330
2005;4042
