årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;227
1956;195
1957;246
1958;203
1959;260
1960;168
1961;231
1962;234
1963;188
1964;233
1965;273
1966;206
1967;129
1968;163
1969;127
1970;121
1971;52
1972;98
1973;162
1974;140
1975;150
1976;222
1977;252
1978;223
1979;246
1980;240
1981;262
1982;162
1983;217
1984;187
1985;220
1986;257
1987;291
1988;247
1989;299
1990;314
1991;335
1992;364
1993;312
1994;336
1995;382
1996;327
1997;439
1998;438
1999;380
2000;438
2001;472
2002;375
2003;375
2004;458
2005;424
