årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;11919
1956;10470
1957;10738
1958;15511
1959;14414
1960;12326
1961;14179
1962;14582
1963;16681
1964;17467
1965;20351
1966;20829
1967;25445
1968;25822
1969;28102
1970;28337
1971;28317
1972;30607
1973;32847
1974;28013
1975;30645
1976;32735
1977;30714
1978;31954
1979;26841
1980;26480
1981;22747
1982;20596
1983;19277
1984;18835
1985;16844
1986;15322
1987;14565
1988;15694
1989;14164
1990;14601
1991;10764
1992;9194
1993;7775
1994;5276
1995;6893
1996;5906
1997;4867
1998;5755
1999;5557
2000;3945
2001;3846
2002;3761
2003;4720
2004;4469
2005;3860
