årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;25056
1956;21825
1957;24559
1958;21661
1959;24840
1960;24922
1961;26532
1962;27133
1963;28962
1964;32144
1965;37458
1966;36645
1967;44061
1968;35520
1969;34645
1970;28823
1971;28926
1972;26702
1973;30376
1974;25951
1975;29505
1976;31022
1977;26434
1978;23361
1979;20784
1980;16628
1981;17041
1982;18329
1983;19891
1984;18051
1985;18022
1986;19081
1987;18814
1988;20858
1989;29242
1990;28889
1991;29320
1992;28317
1993;23424
1994;17205
1995;17785
1996;17664
1997;15569
1998;14943
1999;14981
2000;14987
2001;16401
2002;14939
2003;16440
2004;16735
2005;17532
