årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1811
1956;1963
1957;2217
1958;2061
1959;2221
1960;2071
1961;2166
1962;2138
1963;2553
1964;2727
1965;2737
1966;2884
1967;2845
1968;2850
1969;2795
1970;2696
1971;2550
1972;2560
1973;2880
1974;2918
1975;3052
1976;3358
1977;3251
1978;3133
1979;3159
1980;3324
1981;3514
1982;3616
1983;3924
1984;4137
1985;4722
1986;4805
1987;4731
1988;5216
1989;5767
1990;5934
1991;6636
1992;7118
1993;8180
1994;8168
1995;8546
1996;9267
1997;8015
1998;9488
1999;10294
2000;10118
2001;11011
2002;11436
2003;12812
2004;13238
2005;13377
