årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5720
1956;3200
1957;4674
1958;3442
1959;4925
1960;2937
1961;3217
1962;3336
1963;3839
1964;3966
1965;4345
1966;3706
1967;3833
1968;5391
1969;7508
1970;5339
1971;6819
1972;6030
1973;6656
1974;7153
1975;6867
1976;9962
1977;7377
1978;6934
1979;7731
1980;6827
1981;7326
1982;8525
1983;5838
1984;7081
1985;7880
1986;6584
1987;8205
1988;8005
1989;7932
1990;8755
1991;8420
1992;7555
1993;8715
1994;9236
1995;7453
1996;8603
1997;6397
1998;8102
1999;8707
2000;7265
2001;9152
2002;11477
2003;9988
2004;10232
2005;12615
