årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;766
1956;1121
1957;900
1958;1326
1959;1692
1960;1416
1961;2107
1962;2277
1963;1705
1964;1359
1965;1180
1966;1159
1967;1432
1968;1283
1969;1554
1970;1864
1971;1522
1972;1549
1973;2505
1974;1862
1975;2479
1976;2675
1977;2537
1978;3908
1979;2605
1980;1958
1981;2057
1982;2013
1983;2226
1984;2821
1985;2024
1986;2643
1987;3019
1988;2052
1989;2703
1990;3527
1991;2994
1992;4270
1993;3822
1994;3258
1995;2979
1996;3952
1997;3442
1998;3598
1999;3214
2000;5416
2001;5102
2002;5336
2003;3600
2004;4626
2005;5194
