årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;22912
1956;23141
1957;30820
1958;32305
1959;32876
1960;27727
1961;29444
1962;21090
1963;18705
1964;19293
1965;15281
1966;18150
1967;21800
1968;21054
1969;19829
1970;18160
1971;22653
1972;22218
1973;22060
1974;20224
1975;21312
1976;17897
1977;17869
1978;10819
1979;6180
1980;3688
1981;3062
1982;2649
1983;3003
1984;2877
1985;3981
1986;4825
1987;3045
1988;3623
1989;6765
1990;7089
1991;6632
1992;9155
1993;9375
1994;7409
1995;5080
1996;3689
1997;2773
1998;2889
1999;2536
2000;1961
2001;2076
2002;2242
2003;1828
2004;1733
2005;1585
