årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;161841
1956;141583
1957;164300
1958;168288
1959;184630
1960;160065
1961;191968
1962;173211
1963;164236
1964;169325
1965;172650
1966;190972
1967;208389
1968;208233
1969;201605
1970;195274
1971;197675
1972;192181
1973;198053
1974;189436
1975;186895
1976;156727
1977;149018
1978;139264
1979;119656
1980;132536
1981;124752
1982;124158
1983;125613
1984;116643
1985;125173
1986;121176
1987;121413
1988;153142
1989;146187
1990;151694
1991;154036
1992;139557
1993;138899
1994;134600
1995;129781
1996;105992
1997;93470
1998;101678
1999;114018
2000;102227
2001;115850
2002;107074
2003;107942
2004;118666
2005;106395
