årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;3754
1959;10117
1960;5418
1961;3539
1962;2586
1963;3162
1964;2980
1965;3431
1966;2743
1967;4898
1968;3051
1969;4594
1970;3381
1971;3103
1972;5916
1973;2694
1974;2473
1975;2909
1976;2020
1977;1929
1978;2065
1979;2441
1980;4253
1981;2135
1982;2500
1983;2640
1984;2664
1985;3433
1986;2684
1987;2772
1988;3403
1989;2157
1990;1971
1991;2515
1992;1944
1993;1914
1994;2022
1995;2167
1996;1779
1997;2286
1998;1449
1999;1408
2000;1342
2001;1618
2002;1509
2003;1211
2004;1289
2005;1785
