årstal;antal
1959;11723
1960;10206
1961;17950
1962;15715
1963;16140
1964;14936
1965;17824
1966;17872
1967;22320
1968;15847
1969;15127
1970;15889
1971;12855
1972;10601
1973;12295
1974;18044
1975;15140
1976;10525
1977;9192
1978;9350
1979;7864
1980;14236
1981;14826
1982;12220
1983;14316
1984;12175
1985;11456
1986;10179
1987;12415
1988;21667
1989;12724
1990;16043
1991;15246
1992;11576
1993;12098
1994;17475
1995;15532
1996;8817
1997;8331
1998;8723
1999;12295
2000;13099
2001;16259
2002;10339
2003;12181
2004;15824
2005;12631
