årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;12
1956;21
1957;19
1958;10
1959;15
1960;11
1961;20
1962;15
1963;14
1964;14
1965;30
1966;21
1967;22
1968;22
1969;12
1970;17
1971;30
1972;33
1973;5
1974;6
1975;34
1976;17
1977;10
1978;9
1979;13
1980;14
1981;22
1982;23
1983;23
1984;21
1985;30
1986;22
1987;30
1988;44
1989;91
1990;84
1991;125
1992;84
1993;145
1994;97
1995;57
1996;47
1997;61
1998;64
1999;52
2000;31
2001;75
2002;74
2003;55
2004;57
2005;39
