årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;2520
1959;2642
1960;3651
1961;3516
1962;4804
1963;4082
1964;3091
1965;3643
1966;4973
1967;5604
1968;5892
1969;3210
1970;4776
1971;5249
1972;9568
1973;8344
1974;8352
1975;8772
1976;4777
1977;4414
1978;6589
1979;5022
1980;5394
1981;3287
1982;4837
1983;6437
1984;6155
1985;9197
1986;7423
1987;10897
1988;9701
1989;9568
1990;9536
1991;13127
1992;4451
1993;5235
1994;4539
1995;5873
1996;4804
1997;6108
1998;6239
1999;6451
2000;5049
2001;7023
2002;6816
2003;7387
2004;7454
2005;5348
