årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;547
1956;323
1957;825
1958;777
1959;755
1960;705
1961;1114
1962;602
1963;1075
1964;670
1965;1249
1966;1374
1967;1324
1968;512
1969;1637
1970;1012
1971;746
1972;342
1973;530
1974;360
1975;393
1976;577
1977;464
1978;377
1979;459
1980;598
1981;517
1982;582
1983;517
1984;533
1985;612
1986;803
1987;1134
1988;1356
1989;1072
1990;1101
1991;1552
1992;1074
1993;1392
1994;1294
1995;1552
1996;1421
1997;766
1998;795
1999;849
2000;1316
2001;1262
2002;1518
2003;1073
2004;1149
2005;1097
