årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;24675
1956;24815
1957;26483
1958;24208
1959;24555
1960;21933
1961;23514
1962;19849
1963;18100
1964;18554
1965;16926
1966;18337
1967;19021
1968;17467
1969;15999
1970;14578
1971;16897
1972;16143
1973;15482
1974;16338
1975;15190
1976;14198
1977;12692
1978;10844
1979;8774
1980;9824
1981;10182
1982;9376
1983;9501
1984;9226
1985;8973
1986;8676
1987;7072
1988;7234
1989;8765
1990;9140
1991;9530
1992;11383
1993;11813
1994;9888
1995;9100
1996;8189
1997;5649
1998;5613
1999;4846
2000;4028
2001;3796
2002;3675
2003;3588
2004;3347
2005;2691
