årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;87
1956;40
1957;70
1958;63
1959;48
1960;64
1961;64
1962;65
1963;61
1964;73
1965;84
1966;81
1967;81
1968;69
1969;85
1970;56
1971;76
1972;80
1973;76
1974;106
1975;149
1976;153
1977;240
1978;243
1979;340
1980;364
1981;392
1982;324
1983;350
1984;320
1985;432
1986;451
1987;315
1988;171
1989;179
1990;160
1991;160
1992;184
1993;180
1994;200
1995;154
1996;209
1997;202
1998;199
1999;273
2000;141
2001;199
2002;210
2003;126
2004;169
2005;147
