årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;13007
1956;12300
1957;12984
1958;13518
1959;12232
1960;12067
1961;12711
1962;12414
1963;10807
1964;14225
1965;13662
1966;15600
1967;15314
1968;13620
1969;14717
1970;13930
1971;14339
1972;13464
1973;12838
1974;10789
1975;10275
1976;9146
1977;7643
1978;7046
1979;6189
1980;6008
1981;4933
1982;3865
1983;2551
1984;2392
1985;2203
1986;1988
1987;2086
1988;1746
1989;2302
1990;2424
1991;2379
1992;2194
1993;1619
1994;989
1995;1567
1996;1581
1997;1305
1998;1438
1999;1617
2000;1335
2001;1487
2002;1808
2003;1755
2004;2045
2005;2151
