årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;11852
1956;11922
1957;11559
1958;13098
1959;12873
1960;11253
1961;11942
1962;12120
1963;11328
1964;13167
1965;14103
1966;16285
1967;16205
1968;18766
1969;21587
1970;20014
1971;20982
1972;19737
1973;22467
1974;20693
1975;21266
1976;16855
1977;14651
1978;13682
1979;13223
1980;12218
1981;12775
1982;8786
1983;6469
1984;5613
1985;4918
1986;5087
1987;4253
1988;4089
1989;4891
1990;4428
1991;4125
1992;3358
1993;2650
1994;1975
1995;2859
1996;2984
1997;2543
1998;2568
1999;3683
2000;2613
2001;2944
2002;3929
2003;3955
2004;3690
2005;3570
